IED Name,SV41,SV42,SV121,SV1,SV61,SV22,SV43,SV44,TKVLMU0101
APPID,4BC9,4BCA,4C31,4001,4000,4BCE,4BE3,4BE4,4000
MAC Address,01-0C-CD-04-00-29,01-0C-CD-04-00-2A,01-0C-CD-04-00-79,01-0C-CD-04-00-01,01-0C-CD-04-00-3D,01-0C-CD-04-00-16,01-0C-CD-04-00-2B,01-0C-CD-04-00-2C,01-0C-CD-04-00-00
VLAN ID,BE1,BE2,C31,BB9,BF5,BCE,BE3,BE4,1
VLAN Priority,4,4,4,4,4,4,4,4,4
